#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.368482E-01   0.683092E+07   0.678620E+07  -0.106427E+03   0.351066E+03   0.187899E+07   0.680173E+07   0.682391E+07   0.680173E+07  -0.161981E+00   0.359105E+07   0.359048E+07   0.518207E+01
   0.407050E-01   0.617880E+07   0.613552E+07  -0.749481E+02   0.260207E+03   0.154192E+07   0.615126E+07   0.617202E+07   0.615126E+07  -0.146490E+00   0.324779E+07   0.324726E+07   0.434681E+01
   0.449656E-01   0.559061E+07   0.555077E+07  -0.504074E+02   0.192930E+03   0.126022E+07   0.556497E+07   0.558437E+07   0.556497E+07  -0.132528E+00   0.293839E+07   0.293791E+07   0.351396E+01
   0.494622E-01   0.509798E+07   0.506325E+07  -0.545061E+02   0.145404E+03   0.103838E+07   0.507436E+07   0.509254E+07   0.507436E+07  -0.120844E+00   0.267946E+07   0.267905E+07   0.274890E+01
   0.539588E-01   0.470935E+07   0.468042E+07  -0.396749E+02   0.112877E+03   0.871487E+06   0.468763E+07   0.470482E+07   0.468763E+07  -0.111634E+00   0.247534E+07   0.247500E+07   0.211306E+01
   0.584553E-01   0.439587E+07   0.437260E+07  -0.147387E+02   0.897890E+02   0.742684E+06   0.437585E+07   0.439222E+07   0.437585E+07  -0.104209E+00   0.231078E+07   0.231050E+07   0.161200E+01
   0.629519E-01   0.413098E+07   0.411257E+07  -0.192273E+02   0.727645E+02   0.640004E+06   0.411245E+07   0.412810E+07   0.411245E+07  -0.979364E-01   0.217174E+07   0.217151E+07   0.124166E+01
   0.674484E-01   0.389313E+07   0.387833E+07  -0.194207E+02   0.597425E+02   0.555277E+06   0.387585E+07   0.389081E+07   0.387585E+07  -0.923019E-01   0.204685E+07   0.204665E+07   0.988654E+00
   0.719450E-01   0.366719E+07   0.365457E+07  -0.150418E+02   0.494635E+02   0.483256E+06   0.365094E+07   0.366521E+07   0.365094E+07  -0.869457E-01   0.192812E+07   0.192794E+07   0.832351E+00
   0.764416E-01   0.345050E+07   0.343872E+07   0.188813E+01   0.412266E+02   0.421487E+06   0.343508E+07   0.344866E+07   0.343508E+07  -0.818051E-01   0.181416E+07   0.181399E+07   0.749038E+00
   0.809381E-01   0.323005E+07   0.321804E+07  -0.807723E+00   0.344221E+02   0.366827E+06   0.321533E+07   0.322817E+07   0.321533E+07  -0.765719E-01   0.169814E+07   0.169797E+07   0.711437E+00
   0.854347E-01   0.301338E+07   0.300046E+07   0.613025E+01   0.288191E+02   0.319048E+06   0.299928E+07   0.301136E+07   0.299928E+07  -0.714267E-01   0.158406E+07   0.158389E+07   0.697459E+00
   0.899313E-01   0.280576E+07   0.279171E+07  -0.443448E+01   0.242145E+02   0.277662E+06   0.279223E+07   0.280356E+07   0.279223E+07  -0.664960E-01   0.147474E+07   0.147455E+07   0.688642E+00
   0.944278E-01   0.261333E+07   0.259830E+07   0.687007E+01   0.204545E+02   0.242306E+06   0.260035E+07   0.261098E+07   0.260035E+07  -0.619264E-01   0.137342E+07   0.137323E+07   0.672313E+00
   0.101114E+00   0.236605E+07   0.235048E+07  -0.809058E+00   0.161487E+02   0.199944E+06   0.235391E+07   0.236361E+07   0.235391E+07  -0.560573E-01   0.124328E+07   0.124309E+07   0.621267E+00
   0.107801E+00   0.217184E+07   0.215711E+07  -0.194580E+01   0.130410E+02   0.168035E+06   0.216056E+07   0.216953E+07   0.216056E+07  -0.514528E-01   0.114118E+07   0.114100E+07   0.538936E+00
   0.114487E+00   0.202645E+07   0.201368E+07  -0.152529E+01   0.107890E+02   0.144141E+06   0.201601E+07   0.202445E+07   0.201601E+07  -0.480106E-01   0.106484E+07   0.106469E+07   0.440525E+00
   0.121173E+00   0.191574E+07   0.190540E+07  -0.174299E+01   0.910630E+01   0.125744E+06   0.190610E+07   0.191412E+07   0.190610E+07  -0.453929E-01   0.100680E+07   0.100667E+07   0.346320E+00
   0.127860E+00   0.182189E+07   0.181374E+07  -0.225039E+01   0.777926E+01   0.110720E+06   0.181295E+07   0.182062E+07   0.181295E+07  -0.431746E-01   0.957604E+06   0.957499E+06   0.272430E+00
   0.134546E+00   0.172991E+07   0.172317E+07  -0.918661E-03   0.667121E+01   0.976308E+05   0.172154E+07   0.172886E+07   0.172154E+07  -0.409978E-01   0.909330E+06   0.909239E+06   0.225847E+00
   0.141232E+00   0.163186E+07   0.162560E+07  -0.334427E+00   0.571138E+01   0.857621E+05   0.162395E+07   0.163088E+07   0.162395E+07  -0.386737E-01   0.857791E+06   0.857704E+06   0.204148E+00
   0.147919E+00   0.152777E+07   0.152124E+07  -0.181104E+01   0.487425E+01   0.749575E+05   0.152023E+07   0.152675E+07   0.152023E+07  -0.362038E-01   0.803014E+06   0.802926E+06   0.198567E+00
   0.154605E+00   0.142348E+07   0.141637E+07  -0.124232E+01   0.415671E+01   0.653555E+05   0.141628E+07   0.142236E+07   0.141628E+07  -0.337281E-01   0.748109E+06   0.748017E+06   0.198456E+00
   0.161291E+00   0.132688E+07   0.131929E+07   0.426675E+00   0.355965E+01   0.571363E+05   0.132000E+07   0.132569E+07   0.132000E+07  -0.314354E-01   0.697262E+06   0.697167E+06   0.195233E+00
   0.167978E+00   0.124423E+07   0.123656E+07   0.845417E-01   0.307727E+01   0.503565E+05   0.123768E+07   0.124303E+07   0.123768E+07  -0.294749E-01   0.653782E+06   0.653690E+06   0.184593E+00
   0.174664E+00   0.117785E+07   0.117057E+07  -0.545000E-01   0.269431E+01   0.448943E+05   0.117163E+07   0.117671E+07   0.117163E+07  -0.279019E-01   0.618894E+06   0.618807E+06   0.166710E+00
