#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    93   0.245464E+04  -0.174568E+02  -0.390544E-04  -0.174568E+02   0.606418E+00  -0.528953E-06  -0.390544E-04  -0.528953E-06   0.111726E-06
    94   0.248400E+04  -0.180675E+02  -0.360504E-04  -0.180675E+02   0.620794E+00  -0.539365E-06  -0.360504E-04  -0.539365E-06   0.110925E-06
    95   0.251362E+04  -0.186826E+02  -0.331409E-04  -0.186826E+02   0.635138E+00  -0.551550E-06  -0.331409E-04  -0.551550E-06   0.110130E-06
    96   0.254322E+04  -0.193016E+02  -0.303240E-04  -0.193016E+02   0.649436E+00  -0.565346E-06  -0.303240E-04  -0.565346E-06   0.109341E-06
    97   0.257324E+04  -0.199238E+02  -0.275975E-04  -0.199238E+02   0.663676E+00  -0.580590E-06  -0.275975E-04  -0.580590E-06   0.108559E-06
    98   0.260346E+04  -0.205470E+02  -0.249594E-04  -0.205470E+02   0.677851E+00  -0.597118E-06  -0.249594E-04  -0.597118E-06   0.107783E-06
    99   0.263373E+04  -0.211744E+02  -0.224076E-04  -0.211744E+02   0.691926E+00  -0.614769E-06  -0.224076E-04  -0.614769E-06   0.107013E-06
   100   0.266428E+04  -0.218015E+02  -0.199401E-04  -0.218015E+02   0.705901E+00  -0.633381E-06  -0.199401E-04  -0.633381E-06   0.106249E-06
   101   0.269496E+04  -0.224315E+02  -0.175548E-04  -0.224315E+02   0.719839E+00  -0.652789E-06  -0.175548E-04  -0.652789E-06   0.105492E-06
   102   0.272615E+04  -0.230621E+02  -0.152496E-04  -0.230621E+02   0.733592E+00  -0.672831E-06  -0.152496E-04  -0.672831E-06   0.104741E-06
   103   0.275725E+04  -0.236942E+02  -0.130224E-04  -0.236942E+02   0.747235E+00  -0.693346E-06  -0.130224E-04  -0.693346E-06   0.103996E-06
   104   0.278857E+04  -0.243249E+02  -0.108713E-04  -0.243249E+02   0.760770E+00  -0.714170E-06  -0.108713E-04  -0.714170E-06   0.103257E-06
   105   0.282003E+04  -0.249559E+02  -0.879412E-05  -0.249559E+02   0.774125E+00  -0.735140E-06  -0.879412E-05  -0.735140E-06   0.102525E-06
   106   0.285171E+04  -0.255864E+02  -0.678882E-05  -0.255864E+02   0.787374E+00  -0.756094E-06  -0.678882E-05  -0.756094E-06   0.101799E-06
   107   0.288331E+04  -0.262150E+02  -0.485334E-05  -0.262150E+02   0.800371E+00  -0.776870E-06  -0.485334E-05  -0.776870E-06   0.101079E-06
   108   0.291529E+04  -0.268427E+02  -0.298563E-05  -0.268427E+02   0.813192E+00  -0.797304E-06  -0.298563E-05  -0.797304E-06   0.100365E-06
   109   0.294741E+04  -0.274679E+02  -0.118361E-05  -0.274679E+02   0.825763E+00  -0.817234E-06  -0.118361E-05  -0.817234E-06   0.996574E-07
   110   0.297962E+04  -0.280894E+02   0.554776E-06  -0.280894E+02   0.838086E+00  -0.836497E-06   0.554776E-06  -0.836497E-06   0.989560E-07
   111   0.301198E+04  -0.287085E+02   0.223154E-05  -0.287085E+02   0.850237E+00  -0.854951E-06   0.223154E-05  -0.854951E-06   0.982608E-07
   112   0.304449E+04  -0.293248E+02   0.384849E-05  -0.293248E+02   0.862141E+00  -0.872533E-06   0.384849E-05  -0.872533E-06   0.975718E-07
   113   0.307724E+04  -0.299365E+02   0.540742E-05  -0.299365E+02   0.873799E+00  -0.889202E-06   0.540742E-05  -0.889202E-06   0.968889E-07
   114   0.311006E+04  -0.305430E+02   0.691007E-05  -0.305430E+02   0.885136E+00  -0.904916E-06   0.691007E-05  -0.904916E-06   0.962120E-07
   115   0.314311E+04  -0.311443E+02   0.835824E-05  -0.311443E+02   0.896301E+00  -0.919632E-06   0.835824E-05  -0.919632E-06   0.955412E-07
   116   0.317617E+04  -0.317397E+02   0.975369E-05  -0.317397E+02   0.907070E+00  -0.933309E-06   0.975369E-05  -0.933309E-06   0.948763E-07
   117   0.320952E+04  -0.323283E+02   0.110982E-04  -0.323283E+02   0.917519E+00  -0.945904E-06   0.110982E-04  -0.945904E-06   0.942174E-07
   118   0.324303E+04  -0.329109E+02   0.123935E-04  -0.329109E+02   0.927795E+00  -0.957376E-06   0.123935E-04  -0.957376E-06   0.935644E-07
   119   0.327654E+04  -0.334853E+02   0.136414E-04  -0.334853E+02   0.937751E+00  -0.967682E-06   0.136414E-04  -0.967682E-06   0.929172E-07
   120   0.331020E+04  -0.340515E+02   0.148437E-04  -0.340515E+02   0.947237E+00  -0.976781E-06   0.148437E-04  -0.976781E-06   0.922759E-07
