#    L    TT             EE             TE             PP             TP          
   198   0.553093E+04   0.665656E+00  -0.213035E+02   0.261791E+07   0.688920E+03
   199   0.554640E+04   0.661344E+00  -0.202046E+02   0.260353E+07   0.686121E+03
   200   0.556138E+04   0.657620E+00  -0.190835E+02   0.258927E+07   0.683290E+03
   201   0.557579E+04   0.654540E+00  -0.179395E+02   0.257513E+07   0.680437E+03
   202   0.558971E+04   0.652110E+00  -0.167740E+02   0.256110E+07   0.677564E+03
   203   0.560305E+04   0.650391E+00  -0.155861E+02   0.254719E+07   0.674670E+03
   204   0.561575E+04   0.649404E+00  -0.143788E+02   0.253339E+07   0.671757E+03
   205   0.562796E+04   0.649195E+00  -0.131497E+02   0.251970E+07   0.668824E+03
   206   0.563952E+04   0.649802E+00  -0.119000E+02   0.250613E+07   0.665873E+03
   207   0.565059E+04   0.651245E+00  -0.106300E+02   0.249267E+07   0.662903E+03
   208   0.566093E+04   0.653579E+00  -0.934025E+01   0.247932E+07   0.659916E+03
   209   0.567070E+04   0.656826E+00  -0.803100E+01   0.246609E+07   0.656911E+03
   210   0.567990E+04   0.661037E+00  -0.670306E+01   0.245296E+07   0.653890E+03
   211   0.568852E+04   0.666243E+00  -0.535640E+01   0.243993E+07   0.650852E+03
   212   0.569643E+04   0.672475E+00  -0.399188E+01   0.242702E+07   0.647799E+03
   213   0.570383E+04   0.679776E+00  -0.260937E+01   0.241421E+07   0.644730E+03
   214   0.571058E+04   0.688139E+00  -0.121000E+01   0.240150E+07   0.641646E+03
   215   0.571676E+04   0.697759E+00   0.205573E+00   0.238890E+07   0.638549E+03
   216   0.572228E+04   0.708450E+00   0.163795E+01   0.237640E+07   0.635437E+03
   217   0.572731E+04   0.720367E+00   0.308521E+01   0.236401E+07   0.632312E+03
   218   0.573168E+04   0.733512E+00   0.454766E+01   0.235171E+07   0.629174E+03
   219   0.573547E+04   0.747885E+00   0.602634E+01   0.233952E+07   0.626024E+03
   220   0.573869E+04   0.763634E+00   0.751687E+01   0.232742E+07   0.622861E+03
   221   0.574132E+04   0.780686E+00   0.902157E+01   0.231542E+07   0.619688E+03
   222   0.574338E+04   0.799189E+00   0.105390E+02   0.230352E+07   0.616503E+03
   223   0.574471E+04   0.819069E+00   0.120701E+02   0.229172E+07   0.613308E+03
   224   0.574560E+04   0.840327E+00   0.136111E+02   0.228001E+07   0.610103E+03
   225   0.574584E+04   0.863112E+00   0.151651E+02   0.226839E+07   0.606889E+03
   226   0.574550E+04   0.887424E+00   0.167285E+02   0.225687E+07   0.603665E+03
   227   0.574450E+04   0.913262E+00   0.183028E+02   0.224544E+07   0.600434E+03
   228   0.574299E+04   0.940629E+00   0.198866E+02   0.223410E+07   0.597194E+03
   229   0.574090E+04   0.969597E+00   0.214786E+02   0.222285E+07   0.593946E+03
   230   0.573815E+04   0.100017E+01   0.230795E+02   0.221169E+07   0.590692E+03
   231   0.573474E+04   0.103242E+01   0.246888E+02   0.220062E+07   0.587431E+03
   232   0.573082E+04   0.106627E+01   0.263049E+02   0.218964E+07   0.584164E+03
   233   0.572631E+04   0.110194E+01   0.279265E+02   0.217874E+07   0.580891E+03
   234   0.572107E+04   0.113930E+01   0.295544E+02   0.216793E+07   0.577613E+03
   235   0.571532E+04   0.117841E+01   0.311873E+02   0.215720E+07   0.574331E+03
   236   0.570890E+04   0.121927E+01   0.328251E+02   0.214655E+07   0.571045E+03
   237   0.570190E+04   0.126195E+01   0.344665E+02   0.213599E+07   0.567755E+03
   238   0.569431E+04   0.130654E+01   0.361115E+02   0.212551E+07   0.564461E+03
   239   0.568620E+04   0.135289E+01   0.377596E+02   0.211511E+07   0.561165E+03
   240   0.567736E+04   0.140106E+01   0.394085E+02   0.210479E+07   0.557867E+03
   241   0.566807E+04   0.145121E+01   0.410591E+02   0.209455E+07   0.554568E+03
   242   0.565819E+04   0.150318E+01   0.427107E+02   0.208439E+07   0.551267E+03
   243   0.564772E+04   0.155714E+01   0.443619E+02   0.207430E+07   0.547965E+03
   244   0.563666E+04   0.161300E+01   0.460136E+02   0.206429E+07   0.544663E+03
   245   0.562501E+04   0.167084E+01   0.476628E+02   0.205435E+07   0.541362E+03
   246   0.561284E+04   0.173065E+01   0.493111E+02   0.204449E+07   0.538061E+03
   247   0.560015E+04   0.179237E+01   0.509564E+02   0.203470E+07   0.534761E+03
   248   0.558686E+04   0.185637E+01   0.525987E+02   0.202498E+07   0.531464E+03
   249   0.557313E+04   0.192213E+01   0.542374E+02   0.201533E+07   0.528168E+03
   250   0.555880E+04   0.199008E+01   0.558712E+02   0.200575E+07   0.524875E+03
   251   0.554403E+04   0.205995E+01   0.575007E+02   0.199624E+07   0.521585E+03
   252   0.552858E+04   0.213195E+01   0.591245E+02   0.198680E+07   0.518298E+03
   253   0.551283E+04   0.220588E+01   0.607411E+02   0.197743E+07   0.515015E+03
   254   0.549648E+04   0.228205E+01   0.623504E+02   0.196812E+07   0.511735E+03
   255   0.547961E+04   0.236016E+01   0.639526E+02   0.195889E+07   0.508457E+03
   256   0.546228E+04   0.244060E+01   0.655475E+02   0.194971E+07   0.505183E+03
   257   0.544449E+04   0.252294E+01   0.671270E+02   0.194060E+07   0.501912E+03
   258   0.542617E+04   0.260755E+01   0.687036E+02   0.193156E+07   0.498644E+03
   259   0.540739E+04   0.269430E+01   0.702625E+02   0.192258E+07   0.495380E+03
   260   0.538823E+04   0.278320E+01   0.718186E+02   0.191367E+07   0.492118E+03
   261   0.536853E+04   0.287419E+01   0.733495E+02   0.190482E+07   0.488859E+03
   262   0.534829E+04   0.296749E+01   0.748775E+02   0.189603E+07   0.485603E+03
   263   0.532788E+04   0.306290E+01   0.763951E+02   0.188731E+07   0.482351E+03
   264   0.530686E+04   0.316050E+01   0.778950E+02   0.187864E+07   0.479101E+03
   265   0.528529E+04   0.326023E+01   0.793696E+02   0.187004E+07   0.475855E+03
   266   0.526341E+04   0.336232E+01   0.808413E+02   0.186150E+07   0.472611E+03
   267   0.524098E+04   0.346640E+01   0.822877E+02   0.185302E+07   0.469371E+03
   268   0.521815E+04   0.357287E+01   0.837236E+02   0.184460E+07   0.466133E+03
   269   0.519477E+04   0.368143E+01   0.851417E+02   0.183624E+07   0.462898E+03
   270   0.517114E+04   0.379217E+01   0.865419E+02   0.182793E+07   0.459667E+03
   271   0.514703E+04   0.390503E+01   0.879241E+02   0.181969E+07   0.456438E+03
   272   0.512266E+04   0.402031E+01   0.892810E+02   0.181150E+07   0.453212E+03
   273   0.509782E+04   0.413743E+01   0.906274E+02   0.180337E+07   0.449989E+03
   274   0.507264E+04   0.425699E+01   0.919410E+02   0.179530E+07   0.446769E+03
   275   0.504706E+04   0.437849E+01   0.932440E+02   0.178728E+07   0.443552E+03
   276   0.502121E+04   0.450215E+01   0.945141E+02   0.177932E+07   0.440338E+03
   277   0.499487E+04   0.462799E+01   0.957737E+02   0.177141E+07   0.437126E+03
   278   0.496827E+04   0.475595E+01   0.970004E+02   0.176355E+07   0.433918E+03
   279   0.494133E+04   0.488596E+01   0.982016E+02   0.175575E+07   0.430712E+03
   280   0.491405E+04   0.501802E+01   0.993921E+02   0.174801E+07   0.427509E+03
   281   0.488658E+04   0.515224E+01   0.100550E+03   0.174031E+07   0.424309E+03
   282   0.485861E+04   0.528831E+01   0.101682E+03   0.173267E+07   0.421112E+03
   283   0.483044E+04   0.542648E+01   0.102788E+03   0.172508E+07   0.417917E+03
   284   0.480200E+04   0.556667E+01   0.103869E+03   0.171754E+07   0.414726E+03
   285   0.477328E+04   0.570891E+01   0.104925E+03   0.171005E+07   0.411537E+03
   286   0.474421E+04   0.585304E+01   0.105947E+03   0.170262E+07   0.408350E+03
   287   0.471487E+04   0.599909E+01   0.106951E+03   0.169523E+07   0.405167E+03
   288   0.468531E+04   0.614705E+01   0.107922E+03   0.168789E+07   0.401986E+03
   289   0.465548E+04   0.629688E+01   0.108868E+03   0.168060E+07   0.398808E+03
   290   0.462544E+04   0.644843E+01   0.109787E+03   0.167335E+07   0.395633E+03
   291   0.459519E+04   0.660245E+01   0.110666E+03   0.166616E+07   0.392460E+03
   292   0.456443E+04   0.675783E+01   0.111527E+03   0.165901E+07   0.389290E+03
   293   0.453375E+04   0.691423E+01   0.112348E+03   0.165190E+07   0.386123E+03
   294   0.450272E+04   0.707313E+01   0.113150E+03   0.164485E+07   0.382958E+03
   295   0.447168E+04   0.723307E+01   0.113911E+03   0.163783E+07   0.379796E+03
   296   0.444029E+04   0.739552E+01   0.114647E+03   0.163087E+07   0.376637E+03
   297   0.440875E+04   0.755829E+01   0.115357E+03   0.162394E+07   0.373480E+03
   298   0.437691E+04   0.772360E+01   0.116026E+03   0.161706E+07   0.370326E+03
   299   0.434500E+04   0.789073E+01   0.116662E+03   0.161023E+07   0.367175E+03
   300   0.431287E+04   0.805819E+01   0.117264E+03   0.160343E+07   0.364026E+03
   301   0.428058E+04   0.822749E+01   0.117841E+03   0.159668E+07   0.360879E+03
   302   0.424822E+04   0.839789E+01   0.118392E+03   0.158997E+07   0.357735E+03
   303   0.421571E+04   0.857014E+01   0.118901E+03   0.158330E+07   0.354592E+03
   304   0.418305E+04   0.874425E+01   0.119370E+03   0.157667E+07   0.351451E+03
   305   0.415032E+04   0.891875E+01   0.119812E+03   0.157009E+07   0.348311E+03
   306   0.411743E+04   0.909437E+01   0.120220E+03   0.156354E+07   0.345172E+03
   307   0.408447E+04   0.927114E+01   0.120586E+03   0.155703E+07   0.342033E+03
   308   0.405143E+04   0.945054E+01   0.120933E+03   0.155057E+07   0.338894E+03
   309   0.401839E+04   0.962962E+01   0.121231E+03   0.154414E+07   0.335755E+03
   310   0.398520E+04   0.980911E+01   0.121501E+03   0.153775E+07   0.332614E+03
   311   0.395200E+04   0.999127E+01   0.121729E+03   0.153140E+07   0.329473E+03
   312   0.391881E+04   0.101731E+02   0.121930E+03   0.152509E+07   0.326330E+03
   313   0.388554E+04   0.103562E+02   0.122088E+03   0.151882E+07   0.323185E+03
   314   0.385227E+04   0.105404E+02   0.122218E+03   0.151258E+07   0.320038E+03
   315   0.381900E+04   0.107244E+02   0.122306E+03   0.150639E+07   0.316888E+03
   316   0.378572E+04   0.109095E+02   0.122357E+03   0.150023E+07   0.313735E+03
   317   0.375245E+04   0.110944E+02   0.122374E+03   0.149411E+07   0.310578E+03
   318   0.371917E+04   0.112813E+02   0.122354E+03   0.148802E+07   0.307418E+03
