#           k/h    P           
 0.54457176E-01 0.94309248E+04
 0.55557281E-01 0.92865332E+04
 0.56679614E-01 0.91481602E+04
 0.57824615E-01 0.90149609E+04
 0.58992747E-01 0.88861289E+04
 0.60184479E-01 0.87607383E+04
 0.61400317E-01 0.86377285E+04
 0.62640682E-01 0.85160859E+04
 0.63906111E-01 0.83947773E+04
 0.65197095E-01 0.82721758E+04
 0.66514164E-01 0.81464219E+04
 0.67857832E-01 0.80157905E+04
 0.69228657E-01 0.78796641E+04
 0.70627168E-01 0.77391099E+04
 0.72053924E-01 0.75953018E+04
 0.73509507E-01 0.74482402E+04
 0.74994497E-01 0.72944741E+04
 0.76509491E-01 0.71302021E+04
 0.78055084E-01 0.69532061E+04
 0.79631895E-01 0.67655625E+04
 0.81240565E-01 0.65701235E+04
 0.82881734E-01 0.63690815E+04
 0.84556051E-01 0.61634160E+04
 0.86264193E-01 0.59539741E+04
 0.88006847E-01 0.57423350E+04
 0.89784704E-01 0.55307007E+04
 0.91598473E-01 0.53211392E+04
 0.93448877E-01 0.51158345E+04
 0.95336676E-01 0.49167852E+04
 0.97262599E-01 0.47259121E+04
 0.99227436E-01 0.45450532E+04
 0.10123201E+00 0.43757412E+04
 0.10327702E+00 0.42191284E+04
 0.10536335E+00 0.40758096E+04
 0.10749183E+00 0.39461963E+04
 0.10966332E+00 0.38304666E+04
 0.11187866E+00 0.37277717E+04
 0.11413875E+00 0.36369971E+04
 0.11644451E+00 0.35569885E+04
 0.11879683E+00 0.34856375E+04
 0.12119669E+00 0.34206089E+04
 0.12364503E+00 0.33595942E+04
 0.12614281E+00 0.32998479E+04
 0.12869108E+00 0.32386743E+04
 0.13129081E+00 0.31736709E+04
 0.13394305E+00 0.31027927E+04
 0.13664888E+00 0.30243401E+04
 0.13940936E+00 0.29376350E+04
 0.14222562E+00 0.28425774E+04
 0.14509876E+00 0.27399160E+04
 0.14802995E+00 0.26314272E+04
 0.15102035E+00 0.25191763E+04
 0.15407117E+00 0.24060840E+04
 0.15718360E+00 0.22949719E+04
 0.16035892E+00 0.21887285E+04
 0.16359837E+00 0.20899036E+04
 0.16690327E+00 0.20003381E+04
 0.17027503E+00 0.19213218E+04
 0.17371480E+00 0.18530631E+04
 0.17722408E+00 0.17951113E+04
 0.18080424E+00 0.17459739E+04
 0.18445672E+00 0.17036223E+04
 0.18818299E+00 0.16653821E+04
 0.19198453E+00 0.16284421E+04
 0.19586287E+00 0.15900524E+04
 0.19981956E+00 0.15479652E+04
 0.20385619E+00 0.15007336E+04
 0.20797436E+00 0.14479923E+04
 0.21217570E+00 0.13903690E+04
 0.21646193E+00 0.13295897E+04
 0.22083476E+00 0.12679434E+04
 0.22529592E+00 0.12080033E+04
 0.22984719E+00 0.11521053E+04
 0.23449039E+00 0.11019492E+04
 0.23922741E+00 0.10583871E+04
 0.24406013E+00 0.10212132E+04
 0.24899045E+00 0.98932477E+03
 0.25402039E+00 0.96092987E+03
 0.25915194E+00 0.93387799E+03
 0.26438716E+00 0.90616028E+03
 0.26972812E+00 0.87633575E+03
 0.27517700E+00 0.84383417E+03
 0.28073606E+00 0.80906506E+03
 0.28640729E+00 0.77325720E+03
 0.29219311E+00 0.73805609E+03
 0.29809579E+00 0.70503595E+03
 0.30411756E+00 0.67527032E+03
 0.31026131E+00 0.64906873E+03
 0.31652883E+00 0.62594403E+03
 0.32292327E+00 0.60481458E+03
 0.32944661E+00 0.58437750E+03
 0.33610201E+00 0.56354529E+03
 0.34289157E+00 0.54178851E+03
 0.34981859E+00 0.51926562E+03
 0.35688522E+00 0.49668481E+03
 0.36409497E+00 0.47496127E+03
 0.37145033E+00 0.45482373E+03
 0.37895393E+00 0.43653598E+03
 0.38660949E+00 0.41983957E+03
 0.39441931E+00 0.40411765E+03
 0.40238729E+00 0.38871680E+03
 0.41051584E+00 0.37323123E+03
 0.41880903E+00 0.35766290E+03
 0.42726934E+00 0.34234570E+03
 0.43590093E+00 0.32771188E+03
 0.44470647E+00 0.31403824E+03
 0.45369038E+00 0.30130817E+03
 0.46285531E+00 0.28926550E+03
 0.47220579E+00 0.27763110E+03
 0.48174477E+00 0.26635800E+03
 0.49147689E+00 0.25544659E+03
 0.50140512E+00 0.24489615E+03
 0.51153439E+00 0.23470474E+03
 0.52186781E+00 0.22486951E+03
 0.53241050E+00 0.21538661E+03
 0.54316562E+00 0.20625140E+03
 0.55413854E+00 0.19745853E+03
 0.56533259E+00 0.18900195E+03
 0.57675338E+00 0.18087511E+03
 0.58840430E+00 0.17307089E+03
 0.60029107E+00 0.16558183E+03
 0.61241806E+00 0.15840009E+03
 0.62478942E+00 0.15151753E+03
 0.63741124E+00 0.14492581E+03
 0.65028751E+00 0.13861623E+03
 0.66342449E+00 0.13257768E+03
 0.67682624E+00 0.12679806E+03
 0.69049937E+00 0.12126579E+03
 0.70444804E+00 0.11596987E+03
 0.71867913E+00 0.11089985E+03
 0.73319703E+00 0.10604576E+03
 0.74800897E+00 0.10139812E+03
 0.76311934E+00 0.96947922E+02
 0.77853578E+00 0.92686546E+02
 0.79426283E+00 0.88605820E+02
 0.81030840E+00 0.84697937E+02
 0.82667732E+00 0.80955452E+02
 0.84337759E+00 0.77371277E+02
 0.86041462E+00 0.73938644E+02
